"date","bench","water","origin","unit","species_combo","spp_num","B1","B2","L1","L2","richness","total_cover","reps","slakevalue","torvane","ugPO4","TotN","TotC","ugNH4","ugNO3"
"2017_07_04",1,1,"C",2,"0_B2_L1_L2",3,1.6,1,6.2,0,0,8.8,1,6,"2.7",2.12401637,0.0523,1.6304,1.494177783,0.139199519
"2017_07_04",1,1,"C",8,"B1_0_L1_0",2,0,2.6,3.4,0,0,6,1,6,"0.5",1.743038442,0.0539,1.5579,1.38536969,0.066319201
"2017_07_04",1,1,"C",12,"0_0_0_0",0,0,0,0.6,0,0,0.6,1,3,"0.2",2.701144131,0.0424,1.5063,0.655622931,0.287638195
"2017_07_04",1,1,"C",21,"B1_B2_0_L2",3,0.6,4.2,0,0,0,4.8,1,6,"2.5",1.708679235,0.0486,1.6121,2.099994746,0.163175422
"2017_07_04",1,1,"C",25,"B1_0_L1_L2",3,0,3.6,2.2,0.6,0,6.4,1,6,"1.5",1.472616936,0.0507,1.6404,2.069883465,-0.036826123
"2017_07_04",1,1,"C",30,"0_0_L1_L2",2,0,0,16.2,0,0,16.2,1,5,"1",0.561029468,0.0535,1.5816,1.80822132,0.138642077
"2017_07_04",1,1,"C",37,"0_0_L1_0",1,0,0,9.8,0,0,9.8,1,6,"1.5",1.156770844,0.0516,1.5902,0.784749924,-0.022133961
"2017_07_04",1,1,"C",57,"0_0_0_L2",1,0,0,0,1.2,0,1.2,2,5,"0.5",1.052467163,0.0505,1.564,4.324610846,0.129577805
"2017_07_04",1,1,"C",63,"0_B2_0_0",1,6.2,0,0,0,0,6.2,2,6,"1",1.498801291,0.0545,1.6923,7.925560655,0.098488981
"2017_07_04",1,1,"C",71,"B1_B2_0_0",2,0,33.4,0,0,0,33.4,2,6,"2.5",2.498118808,0.0478,1.5835,1.462375129,0.134147516
"2017_07_04",1,1,"C",92,"B1_B2_L1_L2",4,0,2.4,2.2,0,0,4.6,1,6,"2.75",1.3253609,0.0405,1.3515,1.230401727,0.157853205
"2017_07_04",1,1,"C",110,"B1_0_0_L2",2,0,23.6,0,0,0,23.6,2,6,"2",2.221742443,0.0401,1.3057,0.996001967,0.243469799
"2017_07_04",1,1,"C",113,"B1_0_0_0",1,0,11.6,0,0,0,11.6,2,5,"2.2",1.919671587,0.0429,1.2579,1.218521796,0.187302044
"2017_07_04",1,1,"O",3,"0_0_L1_L2",2,0,0,2.6,0,0,2.6,1,1,"1.15",3.763273161,0.0262,0.2091,1.030515735,0.160640015
"2017_07_04",1,1,"O",4,"0_0_0_L2",1,0,0,0,5.6,0,5.6,1,6,"1",4.266418642,0.0253,0.2343,1.132556705,0.134543845
"2017_07_04",1,1,"O",7,"B1_0_L1_L2",3,0.2,0,0,5.2,0,5.4,1,3,"1.2",2.682179063,0.0227,0.1891,1.176257289,-0.039015426
"2017_07_04",1,1,"O",9,"B1_B2_L1_0",3,0,0,1.6,0,0,1.6,1,2,"0.2",0.272471261,0.0257,0.2595,2.72907947,0.014995979
"2017_07_04",1,1,"O",11,"B1_0_0_0",1,8,0,0,0,0,8,1,6,"0",2.614499669,0.0237,0.2236,1.031049091,0.079866392
"2017_07_04",1,1,"O",28,"0_0_0_0",0,0,0,0,0,0,0,1,1,"0.6",3.110087675,0.019,0.164,0.774414851,0.174636491
"2017_07_04",1,1,"O",31,"B1_0_0_L2",2,1.6,0,0,0.6,0,2.2,1,6,"0.55",1.62240258,0.0219,0.2009,2.696886562,0.105838159
"2017_07_04",1,1,"O",33,"0_B2_0_0",1,0,0.8,0,0,0,0.8,1,6,"0.7",3.004705524,0.0242,0.2015,0.880746244,0.065961126
"2017_07_04",1,1,"O",44,"B1_B2_L1_L2",4,0,0,3.2,1.2,0,4.4,1,1,"1",3.341320506,0.0272,0.2692,1.53828255,0.106282702
"2017_07_04",1,1,"O",53,"0_B2_L1_0",2,0,0,2.4,0,0,2.4,1,5,"1",4.150679715,0.027,0.2709,2.764033409,0.115367795
"2017_07_04",1,1,"O",59,"B1_0_L1_0",2,1.4,0,1.8,0,0,3.2,1,5,"0.75",3.55639798,0.0325,0.3517,1.349455439,0.144507583
"2017_07_04",1,1,"O",70,"0_B2_L1_L2",3,0,0.2,4,0,0,4.2,2,6,"1",1.676553227,0.0269,0.1986,0.614806917,0.04819086
"2017_07_04",1,1,"O",87,"0_0_L1_0",1,0,0,27.2,0,0,27.2,1,6,"1.25",2.738791037,0.0252,0.2168,2.804225,0.10794755
"2017_07_04",1,1,"O",109,"B1_B2_0_L2",3,0.2,1.6,0,3.4,0,5.2,1,6,"0.5",2.643375532,0.0367,0.3855,0.69669325,0.07689269
"2017_07_04",1,1,"O",121,"0_B2_0_0",1,0,2.6,6.2,0,0,8.8,2,6,"1.55",1.847368681,0.0241,0.2189,1.041540913,0.088505716
"2017_07_04",1,1,"O",124,"B1_0_L1_0",2,1.8,0,6.8,0,0,8.6,2,6,"1.2",2.100705845,0.028,0.28,39.64423868,0.096121972
"2017_07_04",1,3,"C",5,"0_B2_L1_0",2,1.4,0,42,0,0,43.4,1,6,"2.6",1.186535829,0.0597,1.7066,3.229967233,0.409102304
"2017_07_04",1,3,"C",16,"B1_B2_0_0",2,3.6,0,0,0,0,3.6,1,6,"2.4",1.868159153,0.0586,1.7972,1.55349618,-0.113230272
"2017_07_04",1,3,"C",23,"0_0_L1_0",1,0,0,17,0,0,17,1,6,"1.6",0.999299363,0.054,1.6228,3.160420988,0.115929492
"2017_07_04",1,3,"C",24,"B1_0_0_0",1,0,12.6,0,0,0,12.6,1,6,"1.5",0.405342338,0.0533,1.6555,1.068810644,0.123023443
"2017_07_04",1,3,"C",26,"0_B2_0_0",1,0,0,0,0,0,0,1,6,"1.1",1.409493801,0.0632,1.8213,1.31012015,0.152274083
"2017_07_04",1,3,"C",36,"0_0_0_L2",1,1.2,0,0,1,0,2.2,1,6,"1",0.135294976,0.053,1.598,1.049404452,0.052923087
"2017_07_04",1,3,"C",49,"0_0_0_0",0,0.6,0,2.6,0,0,3.2,1,6,"1.25",0.786957403,0.0499,1.6341,0.261922503,0.001007419
"2017_07_04",1,3,"C",60,"B1_0_L1_L2",3,0,3.6,5.6,0,0,9.2,1,5,"2.3",1.595477365,0.0517,1.6104,3.527970957,1.064853009
"2017_07_04",1,3,"C",64,"B1_B2_L1_L2",4,1.2,0.6,46.6,0.6,0,49,1,6,"1.5",1.260567074,0.0579,1.6501,2.148263347,0.13104764
"2017_07_04",1,3,"C",65,"0_B2_L1_L2",3,0,0.4,14.6,0,0,15,1,6,"2.6",1.265807327,0.0512,1.5768,2.660191313,0.153236323
"2017_07_04",1,3,"C",66,"B1_0_0_L2",2,0,2.8,1.6,0,0,4.4,1,6,"0.75",0.55670979,0.0531,1.6853,2.099421432,0.130952554
"2017_07_04",1,3,"C",101,"B1_B2_L1_L2",4,0,3.8,6,0,0,9.8,2,5,"1",1.754732914,0.046,1.5035,1.507443996,0.074080658
"2017_07_04",1,3,"C",120,"B1_B2_0_L2",3,0.4,0,12.4,0,0,12.8,2,6,"1.9",1.524497966,0.0565,1.763,1.34246172,0.408563642
"2017_07_04",1,3,"C",125,"0_0_L1_L2",2,0,0,33.6,0,0,33.6,2,6,"0.4",0.672238552,0.0502,1.5082,1.15690234,0.143683098
"2017_07_04",1,3,"C",127,"B1_0_L1_L2",3,0,6.2,15,0.4,0,21.6,2,6,"0.5",1.16060469,0.0593,1.725,2.036929023,1.433082919
"2017_07_04",1,3,"C",128,"0_B2_0_L2",2,2.2,0,0,5.2,0,7.4,2,6,"1",1.097266408,0.0677,2.0557,1.143131455,0.15750638
"2017_07_04",1,3,"O",6,"0_B2_0_L2",2,0,0.6,0,4,0,4.6,1,5,"1.1",1.795680629,0.0249,0.2438,1.330897908,0.076915729
"2017_07_04",1,3,"O",10,"0_0_0_0",0,0,0,0,0,0,0,1,2,"0",1.790463317,0.0309,0.303,1.041064392,0.109341404
"2017_07_04",1,3,"O",13,"0_B2_0_0",1,0,1.6,0,0,0,1.6,1,6,"1.6",2.590681179,0.0269,0.2563,1.138079694,0.065947237
"2017_07_04",1,3,"O",32,"B1_B2_L1_L2",4,0,0.2,15.4,0,0,15.6,2,6,"0.8",2.026201621,0.0437,0.4164,0.828869533,-0.043097684
"2017_07_04",1,3,"O",47,"0_0_L1_L2",2,0,0,8.2,1,0,9.2,1,6,"1.1",2.609736541,0.0478,0.4487,1.540466471,-0.035164793
"2017_07_04",1,3,"O",54,"B1_0_L1_0",2,0,0,5.4,0,0,5.4,1,5,"0.9",1.416603333,0.0177,0.4244,1.123838289,0.136548552
"2017_07_04",1,3,"O",62,"0_B2_L1_L2",3,1,0.6,10.8,0,0,12.4,1,6,"1.5",1.073129205,0.0302,0.3014,1.444832453,0.125285595
"2017_07_04",1,3,"O",72,"B1_0_L1_L2",3,0,0.6,18.2,0,0,18.8,1,6,"1.4",3.619260361,0.03,0.2961,1.122676895,0.035065522
"2017_07_04",1,3,"O",75,"0_B2_L1_0",2,2,0,67,0,0,69,2,6,"0.15",1.859244302,0.0261,0.2623,2.470336596,0.216861113
"2017_07_04",1,3,"O",78,"0_0_0_L2",1,0,0,0,40.6,0,40.6,1,6,"0.75",3.311110559,0.0344,0.3352,1.8706794,0.113530722
"2017_07_04",1,3,"O",79,"B1_B2_L1_0",3,0,0,2.6,1.2,0,3.8,2,6,"1.25",3.360587545,0.03,0.2703,1.70653897,0.117770857
"2017_07_04",1,3,"O",84,"0_0_0_0",0,1,0,0,0,0,1,2,6,"1",2.445424833,0.0239,0.2209,1.040269198,0.128787593
"2017_07_04",1,3,"O",89,"B1_0_0_L2",2,0,0,30,0,0,30,1,6,"0.75",2.515089447,0.0439,0.4411,1.308766324,0.063331303
"2017_07_04",1,3,"O",97,"0_0_L1_L2",2,0,0,17,0,0,17,2,3,"0.7",2.922577282,0.0312,0.3142,1.224735321,0.090724961
"2017_07_04",1,3,"O",100,"0_0_0_L2",1,0,0,0,31.2,0,31.2,2,6,"0.75",1.128631616,0.0387,0.4223,1.018719767,0.077680249
"2017_07_04",1,3,"O",108,"0_B2_L1_L2",3,0,1.8,14.2,4,0,20,2,6,"0.25",2.497694861,0.0353,0.3793,0.859812856,0.020265362
"2017_07_04",2,1,"C",129,"0_B2_0_L2",2,1.2,0,0,8.6,0,9.8,3,3,"2.4",0.937408878,0.0537,1.6938,2.061382922,0.626573036
"2017_07_04",2,1,"C",134,"0_0_0_0",0,0,0,0,0,0,0,3,3,"0.8",1.190656307,0.0465,1.5992,0.457004065,0.104691209
"2017_07_04",2,1,"C",141,"B1_0_L1_L2",3,3.4,1,7,0,0,11.4,3,6,"2.5",1.422386036,0.0533,1.619,1.135524121,0.416131928
"2017_07_04",2,1,"C",144,"0_0_L1_L2",2,0,0,7.4,2.2,0,9.6,3,6,"1.4",0.978850231,0.0564,1.615,1.156503176,0.485571013
"2017_07_04",2,1,"C",146,"B1_0_0_0",1,0,10,8.4,0,0,18.4,3,6,"1.6",3.072511352,0.0533,1.622,0.99955229,0.297381884
"2017_07_04",2,1,"C",151,"0_0_0_L2",1,0,0,0,8.6,0,8.6,4,6,"1.2",2.124942031,0.0515,1.6052,1.314863341,0.552824191
"2017_07_04",2,1,"C",157,"0_B2_0_L2",2,1,0,0,7,0,8,4,6,"2",1.25412578,0.0417,1.4936,1.090843136,0.346415043
"2017_07_04",2,1,"C",158,"0_B2_L1_0",2,1.4,0,5.4,0,0,6.8,3,6,"1.5",5.697983622,0.0484,1.5397,1.538557072,0.409235152
"2017_07_04",2,1,"C",174,"B1_B2_0_0",2,0,8,8,0,0,16,3,6,"1.1",3.209045203,0.0532,1.676,1.52475919,0.327487522
"2017_07_04",2,1,"C",175,"B1_B2_L1_0",3,0,0.8,0.8,0,0,1.6,3,5,"0.7",2.417195893,0.0604,1.7804,0.974917334,0.168271594
"2017_07_04",2,1,"C",187,"0_0_L1_0",1,0,0,37,0,0,37,3,4,"0.8",0.937189699,0.0463,1.5758,1.610589061,0.577892087
"2017_07_04",2,1,"C",199,"B1_0_0_L2",2,0,3.4,0,0.6,0,4,3,6,"0.5",12.08011162,0.0564,1.5788,1.00303967,0.414271548
"2017_07_04",2,1,"C",211,"0_B2_L1_0",2,1,0,0.8,0,0,1.8,4,6,"1.4",2.037018505,0.048,1.6913,1.243143062,0.046535427
"2017_07_04",2,1,"C",222,"0_B2_L1_L2",3,0,0,2.6,1.6,0,4.2,4,4,"2.6",2.495116124,0.0488,1.5098,0.995717579,0.547858184
"2017_07_04",2,1,"C",237,"B1_B2_0_L2",3,0,10.6,34,0,0,44.6,4,6,"1",2.030811324,0.0599,1.8256,2.009651716,0.207126641
"2017_07_04",2,1,"C",240,"B1_B2_L1_0",3,0,4.6,0.4,0,0,5,4,6,"0.9",1.521250981,0.0438,1.595,0.70958794,0.12998865
"2017_07_04",2,1,"C",243,"B1_0_L1_0",2,0,1.4,0.6,0,0,2,4,3,"2",2.616121415,0.0398,1.5661,0.80285286,7.05734154
"2017_07_04",2,1,"C",249,"0_B2_0_0",1,1.2,1.4,10.8,0,0,13.4,4,6,"1.6",1.991469054,0.0575,1.6598,0.493044744,0.252517737
"2017_07_04",2,1,"O",130,"0_0_0_0",0,0,0,0,0,0,0,3,4,"0",2.855957015,0.0182,0.1886,1.416874581,0.363880124
"2017_07_04",2,1,"O",147,"B1_0_0_L2",2,0.4,0,0,0,0,0.4,3,6,"0.5",2.494905797,0.0188,0.1901,1.033845007,0.431836738
"2017_07_04",2,1,"O",150,"B1_B2_L1_0",3,0,1.6,0,0.4,0,2,3,0,"0.6",3.501511705,0.0136,0.1455,0.979260186,0.287752507
"2017_07_04",2,1,"O",171,"0_B2_0_L2",2,0,0.8,0,3.8,0,4.6,3,5,"0.3",2.758301136,0.0271,0.272,1.342655164,0.272111819
"2017_07_04",2,1,"O",173,"0_B2_0_L2",2,0,2.2,0,3.2,0,5.4,4,6,"0.4",3.545028036,0.019,0.2004,2.024835821,0.503431205
"2017_07_04",2,1,"O",184,"B1_B2_0_0",2,2,2,1,0,0,5,3,0,"0.6",3.57963172,0.035,0.29,1.264971434,0.411166604
"2017_07_04",2,1,"O",186,"B1_0_0_0",1,1.2,1,1,0,0,3.2,4,6,"0.2",4.239646128,0.0262,0.2638,1.22152119,0.311288009
"2017_07_04",2,1,"O",190,"0_0_L1_0",1,0,0,14.6,0,0,14.6,4,6,"0.8",3.339104698,0.0301,0.2556,0.808185498,0.167097212
"2017_07_04",2,1,"O",196,"B1_B2_0_0",2,1,1.4,0,0,0,2.4,4,0,"0.6",4.294457329,0.0278,0.4098,0.769317594,0.279097357
"2017_07_04",2,1,"O",214,"0_B2_L1_L2",3,0,0,0,0.4,0,0.4,3,3,"0.2",5.777767781,0.0139,0.1145,1.190592569,1.255523363
"2017_07_04",2,1,"O",224,"B1_B2_0_L2",3,0,0.4,0,0,0,0.4,4,6,"0.2",6.150664263,0.0182,0.1738,0.801461832,0.204433477
"2017_07_04",2,1,"O",236,"0_0_0_L2",1,0,0,1.2,4,0,5.2,4,6,"0",3.611724935,0.0332,0.3121,0.955738466,0.228625472
"2017_07_04",2,1,"O",244,"B1_B2_L1_L2",4,0,0.8,0,0,0,0.8,4,1,"0.9",4.94751026,0.0351,0.2963,1.007172992,0.451175194
"2017_07_04",2,1,"O",251,"0_B2_L1_0",2,0,0.2,2.6,0,0,2.8,4,6,"0.1",3.195741393,0.0191,0.2057,1.292392631,0.243182816
"2017_07_04",2,3,"C",135,"0_0_L1_0",1,0,0,14.2,0,0,14.2,3,6,"1",0.595985882,0.0664,1.8677,1.939141242,0.29924446
"2017_07_04",2,3,"C",138,"B1_B2_0_L2",3,0,8.2,0,16,0,24.2,3,6,"1.1",2.200166273,0.0643,1.8131,1.971954,0.470111331
"2017_07_04",2,3,"C",145,"0_B2_0_0",1,2.2,0,70,0,0,72.2,3,5,"1.8",1.790725291,0.0535,1.6612,1.507979276,0.583482615
"2017_07_04",2,3,"C",154,"B1_0_L1_0",2,0,3,7,0,0,10,3,6,"0.9",1.474587912,0.0509,1.6256,1.186428779,0.287278234
"2017_07_04",2,3,"C",162,"0_B2_L1_0",2,0,0,36.8,0,0,36.8,4,5,"1",0.998530971,0.0459,1.5094,1.344477837,0.513459952
"2017_07_04",2,3,"C",163,"0_0_L1_L2",2,0,0,29.6,10,0,39.6,3,2,"0.9",1.294021288,0.0558,1.5548,1.90671785,0.50833478
"2017_07_04",2,3,"C",165,"B1_B2_L1_0",3,0.4,5,38.6,0,0,44,3,6,"1.1",1.838795591,0.0685,1.9107,2.777640487,0.406810209
"2017_07_04",2,3,"C",169,"B1_0_L1_0",2,2.2,0,0,0,0,2.2,4,6,"0.9",0.976483522,0.0461,1.5571,1.432907107,0.366246954
"2017_07_04",2,3,"C",172,"0_0_0_0",0,0,0,0,0,0,0,3,6,"0.5",0.966840636,0.0577,1.7293,1.695446106,0.5017448
"2017_07_04",2,3,"C",176,"B1_B2_L1_0",3,0,3.4,36,0,0,39.4,4,6,"1.3",1.493549726,0.0677,1.8062,2.343800581,0.536926472
"2017_07_04",2,3,"C",182,"0_B2_0_L2",2,1,0,0,25.6,0,26.6,3,6,"0.8",1.752039057,0.0411,1.6616,1.583057371,0.272077462
"2017_07_04",2,3,"C",215,"0_0_0_L2",1,0.2,0,3.6,0.4,0,4.2,4,6,"1",1.82215001,0.0648,1.7703,2.408802723,0.464471973
"2017_07_04",2,3,"C",220,"B1_0_0_0",1,0,6.6,16,0,0,22.6,3,6,"1.9",3.105846396,0.0488,1.499,1.363553227,0.378457175
"2017_07_04",2,3,"C",232,"B1_B2_0_0",2,0.6,5.2,35.6,0,0,41.4,4,6,"0.8",3.012934394,0.1,2.3286,1.490109173,0.286607903
"2017_07_04",2,3,"C",235,"0_B2_L1_L2",3,0,0,16,0,0,16,4,6,"0.7",1.901193106,0.0589,1.7222,1.906576992,0.298306359
"2017_07_04",2,3,"C",242,"B1_0_0_L2",2,0.4,4.2,18.2,0,0,22.8,4,6,"0.8",1.122755774,0.0418,1.4913,1.158889332,0.257592129
"2017_07_04",2,3,"O",132,"B1_B2_0_L2",3,0,0.2,0,1,0,1.2,3,4,"0.7",1.661142222,0.0348,0.2501,1.548485259,0.268789958
"2017_07_04",2,3,"O",142,"0_0_L1_0",1,0,0,30.6,0,0,30.6,3,6,"0.3",2.81561512,0.0582,0.5602,2.009036197,0.133507588
"2017_07_04",2,3,"O",156,"B1_0_L1_0",2,1,0,5.6,0,0,6.6,3,6,"1",2.951678826,0.0284,0.2843,1.658674778,0.388632498
"2017_07_04",2,3,"O",159,"B1_0_0_0",1,0.4,0.8,6.6,2.6,0,10.4,3,6,"0.6",1.768966423,0.0261,0.2631,1.253984392,0.473535676
"2017_07_04",2,3,"O",191,"B1_B2_0_0",2,1,1.8,7.2,0,0,10,3,6,"0.8",1.608797957,0.0419,0.3965,1.637675077,0.51756071
"2017_07_04",2,3,"O",192,"0_B2_L1_0",2,0,4.8,54,0,0,58.8,3,6,"0.8",2.423244805,0.0391,0.3525,1.825873691,0.530938169
"2017_07_04",2,3,"O",193,"B1_B2_0_0",2,0,4.2,12.6,0,0,16.8,4,6,"0.4",2.704774992,0.0486,0.5128,1.571674095,0.410633643
"2017_07_04",2,3,"O",202,"B1_B2_L1_0",3,0,0.2,16.6,0,0,16.8,3,6,"0.5",1.8378315,0.029,0.2464,1.61567861,0.397153891
"2017_07_04",2,3,"O",228,"B1_B2_L1_L2",4,0,0.8,5.2,0,0,6,4,6,"0.2",3.723928366,0.0258,0.2412,1.103402336,0.209732797
"2017_07_04",2,3,"O",230,"B1_B2_0_L2",3,0,0.6,1,0,0,1.6,4,0,"0.8",3.088343488,0.0278,0.2683,2.148670436,0.442256649
"2017_07_04",2,3,"O",233,"B1_0_L1_L2",3,0,0,0,0,0,0,4,6,"0.2",3.256537921,0.0214,0.2198,1.313814703,0.209325396
"2017_07_04",2,3,"O",245,"0_B2_0_L2",2,0,0.6,31,0,0,31.6,4,6,"0.2",0.92176603,0.0325,0.2661,1.348990617,0.112850656
"2017_07_04",2,3,"O",247,"0_0_L1_0",1,0,0,23,0,0,23,4,6,"0.9",2.917161313,0.0218,0.2096,1.340160661,0.149773687
"2017_07_04",2,3,"O",248,"B1_0_0_0",1,1.2,0,6.6,0,0,7.8,4,6,"0.7",1.431472847,0.0458,0.3785,1.730239645,0.12141031
"2017_07_04",2,3,"O",252,"B1_0_0_L2",2,0,0,2.6,4,0,6.6,4,0,"0",2.128135899,0.0331,0.3907,1.176185638,0.141068572
"2017_07_04",2,3,"O",254,"0_B2_0_0",1,0,0.6,23.2,0,0,23.8,4,6,"0.5",1.175505182,0.0404,0.4609,1.496709875,0.142660047
